0,1778239915,57.740341,12.041744,42.700001,0.100008,6
1,1778239915,300482,5.113281,-2.113281,7.328125
1,1778239915,320627,6.070312,-0.773438,6.261719
1,1778239915,323992,6.605469,-1.730469,7.292969
1,1778239915,327211,6.953125,-2.152344,7.371094
1,1778239915,334857,7.296875,-2.535156,7.566406
1,1778239915,339436,7.761719,-2.765625,7.714844
1,1778239915,347021,8.367188,-2.765625,7.828125
1,1778239915,354762,7.792969,-2.535156,7.714844
2,1778239915,362257,-0.123047,0.425781,-0.341797
1,1778239915,367596,7.179688,-2.152344,7.250000
1,1778239915,370231,7.183594,-1.960938,7.062500
1,1778239915,378336,6.988281,-1.843750,6.988281
1,1778239915,385893,6.796875,-1.769531,6.906250
1,1778239915,394087,6.414062,-1.804688,6.867188
1,1778239915,405230,6.109375,-1.882812,6.757812
1,1778239915,409047,5.800781,-1.996094,6.683594
2,1778239915,411680,-0.083984,0.294922,-0.210938
1,1778239915,417376,5.648438,-2.113281,6.800781
1,1778239915,424981,5.535156,-2.304688,6.910156
1,1778239915,435005,5.687500,-2.187500,7.140625
1,1778239915,445018,5.917969,-1.843750,7.210938
1,1778239915,448855,6.183594,-1.308594,7.214844
1,1778239915,457076,6.453125,-0.808594,7.144531
2,1778239915,461589,-0.080078,0.013672,-0.228516
1,1778239915,519590,6.492188,-0.351562,7.023438
1,1778239915,529252,6.605469,-1.843750,7.250000
1,1778239915,531895,6.566406,-1.691406,7.410156
1,1778239915,535103,6.722656,-1.691406,7.562500
1,1778239915,544379,6.988281,-1.921875,7.828125
1,1778239915,553094,7.144531,-2.265625,8.054688
1,1778239915,558838,7.257812,-2.535156,8.250000
2,1778239915,562093,-0.326172,0.330078,-0.226562
3,1778239915,565742,0.313721,-0.167908,0.919128,0.168945
1,1778239915,568983,7.296875,-2.648438,8.328125
1,1778239915,574139,7.296875,-2.535156,8.171875
1,1778239915,583586,7.296875,-2.417969,7.984375
1,1778239915,589193,7.144531,-2.417969,7.597656
1,1778239915,598113,6.722656,-2.304688,7.183594
1,1778239915,605638,6.339844,-2.226562,6.867188
2,1778239915,611981,-0.169922,0.718750,-0.314453
1,1778239915,615942,6.070312,-1.960938,6.906250
1,1778239915,623635,5.957031,-1.730469,6.988281
1,1778239915,628672,5.957031,-1.539062,7.140625
1,1778239915,636766,6.070312,-1.652344,7.250000
1,1778239915,644861,6.148438,-1.921875,7.250000
2,1778239915,664320,-0.148438,0.558594,-0.359375
1,1778239915,669379,5.574219,-2.304688,6.906250
1,1778239915,672754,5.226562,-2.417969,6.761719
1,1778239915,676778,5.035156,-2.378906,6.679688
1,1778239915,688547,4.996094,-2.152344,6.796875
1,1778239915,694291,5.187500,-1.843750,6.906250
1,1778239915,699936,5.378906,-1.730469,6.910156
1,1778239915,707425,5.496094,-1.613281,6.984375
2,1778239915,711314,-0.123047,-0.152344,0.324219
1,1778239915,715213,5.609375,-1.691406,7.289062
1,1778239915,723362,5.765625,-2.035156,7.527344
1,1778239915,734491,5.878906,-2.226562,7.675781
1,1778239915,738361,5.957031,-2.265625,7.671875
1,1778239915,746545,6.109375,-2.187500,7.597656
1,1778239915,754848,6.183594,-2.074219,7.484375
2,1778239915,762382,0.111328,-0.179688,-0.164062
1,1778239915,767040,6.222656,-1.996094,7.449219
1,1778239915,773894,6.300781,-2.226562,7.562500
1,1778239915,778470,6.261719,-2.496094,7.710938
1,1778239915,786045,6.300781,-2.574219,7.906250
1,1778239915,793596,6.375000,-2.457031,7.945312
1,1778239915,804235,5.917969,-2.304688,7.714844
1,1778239915,808713,4.996094,-1.804688,7.753906
2,1778239915,811350,0.316406,0.109375,-0.447266
1,1778239915,817122,6.414062,-1.039062,7.988281
1,1778239915,825418,6.988281,-0.925781,8.367188
1,1778239915,834271,6.875000,-1.078125,8.402344
1,1778239915,844250,6.222656,-1.460938,8.136719
1,1778239915,848086,5.687500,-1.996094,7.867188
1,1778239915,859704,5.457031,-2.187500,7.632812
3,1778239915,864393,0.285034,-0.158264,0.922729,0.205505
1,1778239915,867572,5.417969,-2.378906,7.484375
1,1778239915,873258,5.609375,-2.457031,7.488281
1,1778239915,879436,5.957031,-2.417969,7.632812
1,1778239915,887632,6.109375,-2.304688,7.906250
1,1778239915,896352,6.222656,-2.187500,8.171875
1,1778239915,903496,6.339844,-2.304688,8.250000
2,1778239915,910965,0.093750,0.269531,0.105469
1,1778239915,914907,6.375000,-2.417969,8.289062
1,1778239915,919368,6.261719,-2.343750,8.214844
1,1778239915,927511,6.183594,-2.074219,8.097656
1,1778239915,935081,6.109375,-1.691406,7.828125
1,1778239915,943935,5.878906,-1.230469,7.488281
1,1778239915,953838,5.535156,-0.886719,7.144531
1,1778239915,957700,5.304688,-0.656250,7.144531
2,1778239915,960960,0.101562,0.541016,-0.259766
3,1778239915,964596,0.269897,-0.151184,0.928040,0.207397
1,1778239915,967838,5.226562,-0.847656,7.253906
1,1778239915,973702,5.265625,-1.156250,7.371094
1,1778239915,983676,5.304688,-1.460938,7.562500
1,1778239915,989305,5.187500,-1.460938,7.710938
1,1778239915,997438,5.113281,-1.421875,7.714844
1,1778239916,5621,5.113281,-1.347656,7.597656
2,1778239916,10788,0.015625,0.207031,-0.285156
1,1778239916,22819,4.996094,-1.308594,7.449219
1,1778239916,26093,4.960938,-1.308594,7.289062
1,1778239916,29004,5.035156,-1.539062,7.328125
0,1778239916,57.740322,12.041750,35.900002,0.311136,6
1,1778239916,3978,4.960938,-1.921875,7.488281
1,1778239916,11532,4.921875,-2.378906,7.753906
1,1778239916,20505,5.113281,-2.878906,7.867188
2,1778239916,27372,0.115234,-0.226562,0.253906
1,1778239916,32743,5.304688,-3.183594,7.949219
1,1778239916,35710,5.417969,-3.414062,7.988281
1,1778239916,42604,5.378906,-3.375000,7.910156
1,1778239916,50270,5.457031,-3.261719,7.789062
1,1778239916,60246,5.417969,-3.070312,7.750000
1,1778239916,66519,5.304688,-2.687500,7.714844
1,1778239916,73885,5.035156,-2.343750,7.566406
2,1778239916,77137,0.603516,-0.626953,0.382812
1,1778239916,81702,4.921875,-2.187500,7.597656
1,1778239916,89842,4.843750,-1.652344,7.449219
1,1778239916,99650,5.113281,-1.156250,7.566406
1,1778239916,104651,5.378906,-0.656250,7.593750
1,1778239916,112757,5.417969,-0.542969,7.671875
1,1778239916,121593,5.496094,-0.773438,7.675781
2,1778239916,127381,0.189453,-0.929688,0.501953
1,1778239916,132020,5.765625,-1.078125,7.714844
1,1778239916,136409,6.031250,-1.269531,7.714844
1,1778239916,148638,6.375000,-1.386719,7.710938
1,1778239916,152000,6.796875,-1.539062,7.406250
1,1778239916,160850,7.257812,-1.578125,7.410156
1,1778239916,178394,7.257812,-1.308594,7.636719
2,1778239916,181623,0.173828,-0.630859,0.357422
1,1778239916,184873,7.335938,-1.156250,7.714844
1,1778239916,191798,7.527344,-1.000000,7.832031
1,1778239916,199932,7.601562,-0.734375,7.792969
1,1778239916,209928,7.718750,-0.425781,7.597656
1,1778239916,215000,7.296875,-0.121094,7.488281
1,1778239916,222601,6.683594,0.109375,7.449219
2,1778239916,227117,-0.015625,-0.138672,-0.023438
3,1778239916,230882,0.320496,-0.141357,0.921570,0.167480
1,1778239916,234104,6.492188,0.148438,7.566406
1,1778239916,239217,6.566406,-0.003906,7.792969
1,1778239916,246044,6.605469,-0.464844,7.945312
1,1778239916,254103,7.296875,-0.925781,8.097656
1,1778239916,261675,7.640625,-1.156250,8.253906
1,1778239916,270703,7.296875,-1.960938,8.398438
2,1778239916,277027,-0.347656,0.072266,0.074219
1,1778239916,280988,7.144531,-2.152344,8.175781
1,1778239916,285536,6.722656,-1.921875,7.832031
1,1778239916,293593,6.375000,-1.921875,7.449219
1,1778239916,301162,6.261719,-1.996094,7.210938
